Date,Team,Score,Team,Score,Margin
9/6/2014,North Carolina,31,San Diego St,27,4
9/6/2014,NC State,46,Old Dominion,34,12
9/6/2014,Penn St,21,Akron,3,18
9/6/2014,C Michigan,38,Purdue,17,21
9/6/2014,Rutgers,38,Howard,25,13
9/6/2014,South Carolina,33,East Carolina,23,10
9/6/2014,Maryland,24,South Florida,17,7
9/6/2014,Navy,31,Temple,24,7
9/6/2014,Tennessee,34,Arkansas St,19,15
9/6/2014,Virginia,45,Richmond,13,32
9/6/2014,Wake Forest,23,Gardner Webb,7,16
9/6/2014,West Virginia,54,Towson,0,54
9/6/2014,Missouri,49,Toledo,24,25
9/6/2014,Auburn,59,San Jose St,13,46
9/6/2014,Baylor,70,Northwestern LA,6,64
9/6/2014,Houston,47,Grambling,0,47
9/6/2014,Illinois,42,WKU,34,8
9/6/2014,Iowa,17,Ball St,13,4
9/6/2014,Kansas St,32,Iowa St,28,4
9/6/2014,Kansas,34,SE Missouri St,28,6
9/6/2014,Louisiana Tech,48,ULL,20,28
9/6/2014,Minnesota,35,MTSU,24,11
9/6/2014,Mississippi St,47,UAB,34,13
9/6/2014,Nebraska,31,McNeese St,24,7
9/6/2014,North Texas,43,SMU,6,37
9/6/2014,N Illinois,23,Northwestern,15,8
9/6/2014,Oklahoma St,40,Missouri St,23,17
9/6/2014,Southern Miss,26,Alcorn St,20,6
9/6/2014,BYU,41,Texas,7,34
9/6/2014,Georgia Tech,38,Tulane,21,17
9/6/2014,Mississippi,41,Vanderbilt,3,38
9/6/2014,Wisconsin,37,W Illinois,3,34
9/6/2014,Oklahoma,52,Tulsa,7,45
9/6/2014,Duke,34,Troy,17,17
9/6/2014,Texas Tech,30,UTEP,26,4
9/6/2014,Utah,59,Fresno St,27,32
9/6/2014,Wyoming,17,Air Force,13,4
9/6/2014,California,55,CS Sacramento,14,41
9/6/2014,UCLA,42,Memphis,35,7
9/6/2014,UNLV,13,N Colorado,12,1
9/6/2014,Washington,59,E Washington,52,7
9/6/2014,Oregon,46,Michigan St,27,19
9/6/2014,USC,13,Stanford,10,3
9/6/2014,Arkansas,73,Nicholls St,7,66
9/6/2014,Florida,65,E Michigan,0,65
9/6/2014,Ga Southern,83,Savannah St,9,74
9/6/2014,ULM,38,Idaho,31,7
9/6/2014,Arizona St,58,New Mexico,23,35
9/6/2014,LSU,56,Sam Houston St,0,56
9/6/2014,Notre Dame,31,Michigan,0,31
9/6/2014,Texas A&M,73,Lamar,3,70
9/6/2014,Virginia Tech,35,Ohio St,21,14
9/6/2014,Utah St,40,Idaho St,20,20
9/6/2014,Boise St,37,Colorado St,24,13
9/6/2014,Oregon St,38,Hawaii,30,8
9/11/2014,Louisiana Tech,42,North Texas,21,21
9/11/2014,BYU,33,Houston,25,8
9/12/2014,Baylor,63,Buffalo,21,42
9/12/2014,Cincinnati,58,Toledo,34,24
9/13/2014,Indiana St,27,Ball St,20,7
9/13/2014,Bowling Green,45,Indiana,42,3
9/13/2014,Syracuse,40,C Michigan,3,37
9/13/2014,Boise St,38,Connecticut,21,17
9/13/2014,Duke,41,Kansas,3,38
9/13/2014,Pittsburgh,42,Florida Intl,25,17
9/13/2014,FL Atlantic,50,Tulsa,21,29
9/13/2014,Air Force,48,Georgia St,38,10
9/13/2014,Georgia Tech,42,Ga Southern,38,4
9/13/2014,Marshall,44,Ohio,14,30
9/13/2014,West Virginia,40,Maryland,37,3
9/13/2014,Miami FL,41,Arkansas St,20,21
9/13/2014,Michigan,34,Miami OH,10,24
9/13/2014,Ohio St,66,Kent,0,66
9/13/2014,Old Dominion,17,E Michigan,3,14
9/13/2014,South Carolina,38,Georgia,35,3
9/13/2014,NC State,49,South Florida,17,32
9/13/2014,East Carolina,28,Virginia Tech,21,7
9/13/2014,Missouri,38,UCF,10,28
9/13/2014,Virginia,23,Louisville,21,2
9/13/2014,Boston College,37,USC,31,6
9/13/2014,Alabama,52,Southern Miss,12,40
9/13/2014,Iowa St,20,Iowa,17,3
9/13/2014,LSU,31,ULM,0,31
9/13/2014,MTSU,50,WKU,47,3
9/13/2014,Oklahoma,34,Tennessee,10,24
9/13/2014,Oklahoma St,43,UT San Antonio,13,30
9/13/2014,Mississippi St,35,South Alabama,3,32
9/13/2014,TCU,30,Minnesota,7,23
9/13/2014,Texas A&M,38,Rice,10,28
9/13/2014,Navy,35,Texas St,21,14
9/13/2014,Arkansas,49,Texas Tech,28,21
9/13/2014,Abilene Chr,38,Troy,35,3
9/13/2014,Tulane,35,SE Louisiana,20,15
9/13/2014,UAB,41,Alabama A&M,14,27
9/13/2014,Vanderbilt,34,Massachusetts,31,3
9/13/2014,UCLA,20,Texas,17,3
9/13/2014,Colorado St,49,UC Davis,21,28
9/13/2014,UTEP,42,New Mexico St,24,18
9/13/2014,Arizona St,38,Colorado,24,14
9/13/2014,Arizona,35,Nevada,28,7
9/13/2014,W Michigan,45,Idaho,33,12
9/13/2014,Oregon,48,Wyoming,14,34
9/13/2014,Stanford,35,Army,0,35
9/13/2014,N Illinois,48,UNLV,34,14
9/13/2014,Washington,44,Illinois,19,25
9/13/2014,Washington St,59,Portland St,21,38
9/13/2014,Mississippi,56,ULL,15,41
9/13/2014,Hawaii,27,Northern Iowa,24,3
9/13/2014,Utah St,36,Wake Forest,24,12
9/13/2014,Florida,36,Kentucky,30,6
9/13/2014,Notre Dame,30,Purdue,14,16
9/13/2014,Penn St,13,Rutgers,10,3
9/13/2014,Nebraska,55,Fresno St,19,36
9/18/2014,Auburn,20,Kansas St,14,6
9/19/2014,South Florida,17,Connecticut,14,3
9/20/2014,Marshall,48,Akron,17,31
9/20/2014,Boston College,40,Maine,10,30
9/20/2014,Buffalo,36,Norfolk St,7,29
9/20/2014,Cincinnati,31,Miami OH,24,7
9/20/2014,Duke,47,Tulane,13,34
9/20/2014,East Carolina,70,North Carolina,41,29
9/20/2014,Georgia,66,Troy,0,66
9/20/2014,Utah,26,Michigan,10,16
9/20/2014,Michigan St,73,E Michigan,14,59
9/20/2014,NC State,42,Presbyterian,0,42
9/20/2014,Ohio,36,Idaho,24,12
9/20/2014,Penn St,48,Massachusetts,7,41
9/20/2014,Iowa,24,Pittsburgh,20,4
9/20/2014,Purdue,35,S Illinois,13,22
9/20/2014,Maryland,34,Syracuse,20,14
9/20/2014,Temple,59,Delaware St,0,59
9/20/2014,Toledo,34,Ball St,23,11
9/20/2014,UCF,41,Bethune-Cookman,7,34
9/20/2014,Georgia Tech,27,Virginia Tech,24,3
9/20/2014,Wake Forest,24,Army,21,3
9/20/2014,W Michigan,45,Murray St,14,31
9/20/2014,Oklahoma,45,West Virginia,33,12
9/20/2014,Florida St,23,Clemson,17,6
9/20/2014,Louisville,34,Florida Intl,3,31
9/20/2014,Alabama,42,Florida,21,21
9/20/2014,Arkansas,52,N Illinois,14,38
9/20/2014,Arkansas St,21,Utah St,14,7
9/20/2014,Illinois,42,Texas St,35,7
9/20/2014,Kansas,24,C Michigan,10,14
9/20/2014,Mississippi St,34,LSU,29,5
9/20/2014,Northwestern LA,30,Louisiana Tech,27,3
9/20/2014,Memphis,36,MTSU,17,19
9/20/2014,Minnesota,24,San Jose St,7,17
9/20/2014,Indiana,31,Missouri,27,4
9/20/2014,North Texas,77,Nicholls St,3,74
9/20/2014,Northwestern,24,W Illinois,7,17
9/20/2014,Old Dominion,45,Rice,42,3
9/20/2014,Ga Southern,28,South Alabama,6,22
9/20/2014,Southern Miss,21,Appalachian St,20,1
9/20/2014,Wisconsin,68,Bowling Green,17,51
9/20/2014,South Carolina,48,Vanderbilt,34,14
9/20/2014,Texas A&M,58,SMU,6,52
9/20/2014,BYU,41,Virginia,33,8
9/20/2014,Colorado,21,Hawaii,12,9
9/20/2014,Wyoming,20,FL Atlantic,19,1
9/20/2014,Arizona,49,California,45,4
9/20/2014,Fresno St,56,Southern Utah,16,40
9/20/2014,Oregon St,28,San Diego St,7,21
9/20/2014,Washington,45,Georgia St,14,31
9/20/2014,Oregon,38,Washington St,31,7
9/20/2014,Rutgers,31,Navy,24,7
9/20/2014,Nebraska,41,Miami FL,31,10
9/20/2014,New Mexico,38,New Mexico St,35,3
9/20/2014,Boise St,34,ULL,9,25
9/20/2014,Houston,47,UNLV,14,33
9/25/2014,Ga Southern,34,Appalachian St,14,20
9/25/2014,Oklahoma St,45,Texas Tech,35,10
9/25/2014,UCLA,62,Arizona St,27,35
9/26/2014,MTSU,41,Old Dominion,28,13
9/26/2014,Fresno St,35,New Mexico,24,11
9/27/2014,Colorado St,24,Boston College,21,3
9/27/2014,Buffalo,35,Miami OH,27,8
9/27/2014,Clemson,50,North Carolina,35,15
9/27/2014,Temple,36,Connecticut,10,26
9/27/2014,FL Atlantic,41,UT San Antonio,37,4
9/27/2014,Georgia,35,Tennessee,32,3
9/27/2014,Maryland,37,Indiana,15,22
9/27/2014,Louisville,20,Wake Forest,10,10
9/27/2014,Bowling Green,47,Massachusetts,42,5
9/27/2014,Minnesota,30,Michigan,14,16
9/27/2014,Michigan St,56,Wyoming,14,42
9/27/2014,Ohio,34,E Illinois,19,15
9/27/2014,Northwestern,29,Penn St,6,23
9/27/2014,Akron,21,Pittsburgh,10,11
9/27/2014,Iowa,24,Purdue,10,14
9/27/2014,Rutgers,31,Tulane,6,25
9/27/2014,Toledo,42,C Michigan,28,14
9/27/2014,Virginia,45,Kent,13,32
9/27/2014,Virginia Tech,35,W Michigan,17,18
9/27/2014,Yale,49,Army,43,6
9/27/2014,Florida St,56,NC State,41,15
9/27/2014,Missouri,21,South Carolina,20,1
9/27/2014,Notre Dame,31,Syracuse,15,16
9/27/2014,Miami FL,22,Duke,10,12
9/27/2014,Kentucky,17,Vanderbilt,7,10
9/27/2014,Auburn,45,Louisiana Tech,17,28
9/27/2014,Texas,23,Kansas,0,23
9/27/2014,Kansas St,58,UTEP,28,30
9/27/2014,LSU,63,New Mexico St,7,56
9/27/2014,Mississippi,24,Memphis,3,21
9/27/2014,TCU,56,SMU,0,56
9/27/2014,Rice,41,Southern Miss,23,18
9/27/2014,Texas A&M,35,Arkansas,28,7
9/27/2014,Texas St,37,Tulsa,34,3
9/27/2014,Florida Intl,34,UAB,20,14
9/27/2014,Wisconsin,27,South Florida,10,17
9/27/2014,Baylor,49,Iowa St,28,21
9/27/2014,Washington St,28,Utah,27,1
9/27/2014,California,59,Colorado,56,3
9/27/2014,South Alabama,34,Idaho,10,24
9/27/2014,San Diego St,34,UNLV,17,17
9/27/2014,USC,35,Oregon St,10,25
9/27/2014,Stanford,20,Washington,13,7
9/27/2014,WKU,36,Navy,27,9
9/27/2014,Ohio St,50,Cincinnati,28,22
9/27/2014,Air Force,28,Boise St,14,14
9/27/2014,ULM,22,Troy,20,2
9/27/2014,Nebraska,45,Illinois,14,31
9/27/2014,Nevada,21,San Jose St,10,11
10/2/2014,Florida Intl,38,FL Atlantic,10,28
10/2/2014,UCF,17,Houston,12,5
10/2/2014,Arizona,31,Oregon,24,7
10/3/2014,Louisville,28,Syracuse,6,22
10/3/2014,Utah St,35,BYU,20,15
10/3/2014,Fresno St,24,San Diego St,13,11
10/4/2014,Akron,31,E Michigan,6,25
10/4/2014,South Alabama,47,Appalachian St,21,26
10/4/2014,Army,33,Ball St,24,9
10/4/2014,Bowling Green,36,Buffalo,35,1
10/4/2014,C Michigan,28,Ohio,10,18
10/4/2014,Memphis,41,Cincinnati,14,27
10/4/2014,Clemson,41,NC State,0,41
10/4/2014,East Carolina,45,SMU,24,21
10/4/2014,Florida St,43,Wake Forest,3,40
10/4/2014,Georgia Tech,28,Miami FL,17,11
10/4/2014,Indiana,49,North Texas,24,25
10/4/2014,Miami OH,42,Massachusetts,41,1
10/4/2014,Virginia Tech,34,North Carolina,17,17
10/4/2014,Marshall,56,Old Dominion,14,42
10/4/2014,Florida,10,Tennessee,9,1
10/4/2014,Virginia,24,Pittsburgh,19,5
10/4/2014,West Virginia,33,Kansas,14,19
10/4/2014,Toledo,20,W Michigan,19,1
10/4/2014,Kentucky,45,South Carolina,38,7
10/4/2014,Ohio St,52,Maryland,24,28
10/4/2014,Georgia,44,Vanderbilt,17,27
10/4/2014,Arkansas St,28,ULM,14,14
10/4/2014,Purdue,38,Illinois,27,11
10/4/2014,Kansas St,45,Texas Tech,13,32
10/4/2014,ULL,34,Georgia St,31,3
10/4/2014,Louisiana Tech,55,UTEP,3,52
10/4/2014,MTSU,37,Southern Miss,31,6
10/4/2014,N Illinois,17,Kent,14,3
10/4/2014,Oklahoma St,37,Iowa St,20,17
10/4/2014,Rice,28,Hawaii,14,14
10/4/2014,Texas St,35,Idaho,30,5
10/4/2014,New Mexico,21,UT San Antonio,9,12
10/4/2014,UAB,42,WKU,39,3
10/4/2014,TCU,37,Oklahoma,33,4
10/4/2014,Mississippi,23,Alabama,17,6
10/4/2014,Baylor,28,Texas,7,21
10/4/2014,Auburn,41,LSU,7,34
10/4/2014,Mississippi St,48,Texas A&M,31,17
10/4/2014,Northwestern,20,Wisconsin,14,6
10/4/2014,Oregon St,36,Colorado,31,5
10/4/2014,Colorado St,42,Tulsa,17,25
10/4/2014,San Jose St,33,UNLV,10,23
10/4/2014,Utah,30,UCLA,28,2
10/4/2014,California,60,Washington St,59,1
10/4/2014,Arizona St,38,USC,34,4
10/4/2014,Air Force,30,Navy,21,9
10/4/2014,Notre Dame,17,Stanford,14,3
10/4/2014,Rutgers,26,Michigan,24,2
10/4/2014,Michigan St,27,Nebraska,22,5
10/4/2014,Ga Southern,36,New Mexico St,28,8
10/4/2014,Boise St,51,Nevada,46,5
10/9/2014,UCF,31,BYU,24,7
10/10/2014,Stanford,34,Washington St,17,17
10/10/2014,San Diego St,24,New Mexico,14,10
10/10/2014,UNLV,30,Fresno St,27,3
10/11/2014,Akron,29,Miami OH,19,10
10/11/2014,Liberty,55,Appalachian St,48,7
10/11/2014,Rice,41,Army,21,20
10/11/2014,W Michigan,42,Ball St,38,4
10/11/2014,E Michigan,37,Buffalo,27,10
10/11/2014,Arkansas St,52,Georgia St,10,42
10/11/2014,Iowa,45,Indiana,29,16
10/11/2014,Massachusetts,40,Kent,17,23
10/11/2014,Kentucky,48,ULM,14,34
10/11/2014,Marshall,49,MTSU,24,25
10/11/2014,Miami FL,55,Cincinnati,34,21
10/11/2014,Navy,51,VMI,14,37
10/11/2014,Boston College,30,NC State,14,16
10/11/2014,Bowling Green,31,Ohio,13,18
10/11/2014,East Carolina,28,South Florida,17,11
10/11/2014,Temple,35,Tulsa,24,11
10/11/2014,Tennessee,45,Chattanooga,10,35
10/11/2014,Florida St,38,Syracuse,20,18
10/11/2014,Michigan St,45,Purdue,31,14
10/11/2014,LSU,30,Florida,27,3
10/11/2014,Clemson,23,Louisville,17,6
10/11/2014,Duke,31,Georgia Tech,25,6
10/11/2014,Baylor,61,TCU,58,3
10/11/2014,Iowa St,37,Toledo,30,7
10/11/2014,Houston,28,Memphis,24,4
10/11/2014,Minnesota,24,Northwestern,17,7
10/11/2014,Georgia,34,Missouri,0,34
10/11/2014,C Michigan,34,N Illinois,17,17
10/11/2014,Oklahoma,31,Texas,26,5
10/11/2014,Mississippi,35,Texas A&M,20,15
10/11/2014,West Virginia,37,Texas Tech,34,3
10/11/2014,Troy,41,New Mexico St,24,17
10/11/2014,Tulane,12,Connecticut,3,9
10/11/2014,UAB,56,North Texas,21,35
10/11/2014,UT San Antonio,16,Florida Intl,13,3
10/11/2014,Vanderbilt,21,Charleston So,20,1
10/11/2014,Wisconsin,38,Illinois,28,10
10/11/2014,Mississippi St,38,Auburn,23,15
10/11/2014,Alabama,14,Arkansas,13,1
10/11/2014,Oklahoma St,27,Kansas,20,7
10/11/2014,UTEP,42,Old Dominion,35,7
10/11/2014,Utah St,34,Air Force,16,18
10/11/2014,Oregon,42,UCLA,30,12
10/11/2014,USC,28,Arizona,26,2
10/11/2014,Washington,31,California,7,24
10/11/2014,Notre Dame,50,North Carolina,43,7
10/11/2014,Ga Southern,47,Idaho,24,23
10/11/2014,Hawaii,38,Wyoming,28,10
10/11/2014,Michigan,18,Penn St,13,5
10/11/2014,Colorado St,31,Nevada,24,7
10/14/2014,ULL,34,Texas St,10,24
10/16/2014,Pittsburgh,21,Virginia Tech,16,5
10/16/2014,Utah,29,Oregon St,23,6
10/17/2014,Boise St,37,Fresno St,27,10
10/17/2014,Houston,31,Temple,10,21
10/18/2014,W Michigan,26,Bowling Green,14,12
10/18/2014,Ball St,32,C Michigan,29,3
10/18/2014,Duke,20,Virginia,13,7
10/18/2014,Marshall,45,Florida Intl,13,32
10/18/2014,FL Atlantic,45,WKU,38,7
10/18/2014,Kent,39,Army,17,22
10/18/2014,Louisville,30,NC State,18,12
10/18/2014,Maryland,38,Iowa,31,7
10/18/2014,Massachusetts,36,E Michigan,14,22
10/18/2014,Minnesota,39,Purdue,38,1
10/18/2014,North Carolina,48,Georgia Tech,43,5
10/18/2014,Ohio,23,Akron,20,3
10/18/2014,South Carolina,41,Furman,10,31
10/18/2014,UCF,20,Tulane,13,7
10/18/2014,Syracuse,30,Wake Forest,7,23
10/18/2014,Missouri,42,Florida,13,29
10/18/2014,Clemson,17,Boston College,13,4
10/18/2014,West Virginia,41,Baylor,27,14
10/18/2014,Florida St,31,Notre Dame,27,4
10/18/2014,Georgia,45,Arkansas,32,13
10/18/2014,LSU,41,Kentucky,3,38
10/18/2014,Louisiana Tech,27,UT San Antonio,20,7
10/18/2014,MTSU,34,UAB,22,12
10/18/2014,Southern Miss,30,North Texas,20,10
10/18/2014,N Illinois,51,Miami OH,41,10
10/18/2014,Kansas St,31,Oklahoma,30,1
10/18/2014,Mississippi,34,Tennessee,3,31
10/18/2014,Cincinnati,41,SMU,3,38
10/18/2014,South Alabama,30,Georgia St,27,3
10/18/2014,Texas,48,Iowa St,45,3
10/18/2014,Texas Tech,34,Kansas,21,13
10/18/2014,Appalachian St,53,Troy,14,39
10/18/2014,South Florida,38,Tulsa,30,8
10/18/2014,TCU,42,Oklahoma St,9,33
10/18/2014,Alabama,59,Texas A&M,0,59
10/18/2014,Air Force,35,New Mexico,31,4
10/18/2014,Nevada,42,BYU,35,7
10/18/2014,San Jose St,27,Wyoming,20,7
10/18/2014,Idaho,29,New Mexico St,17,12
10/18/2014,USC,56,Colorado,28,28
10/18/2014,Arizona St,26,Stanford,10,16
10/18/2014,UCLA,36,California,34,2
10/18/2014,Oregon,45,Washington,20,25
10/18/2014,Ohio St,56,Rutgers,17,39
10/18/2014,Michigan St,56,Indiana,17,39
10/18/2014,Colorado St,16,Utah St,13,3
10/18/2014,Nebraska,38,Northwestern,17,21
10/18/2014,San Diego St,20,Hawaii,10,10
10/21/2014,ULL,55,Arkansas St,40,15
10/23/2014,East Carolina,31,Connecticut,21,10
10/23/2014,Miami FL,30,Virginia Tech,6,24
10/24/2014,Cincinnati,34,South Florida,17,17
10/24/2014,South Alabama,27,Troy,13,14
10/24/2014,Oregon,59,California,41,18
10/24/2014,Boise St,55,BYU,30,25
10/25/2014,Ball St,35,Akron,21,14
10/25/2014,C Michigan,20,Buffalo,14,6
10/25/2014,Clemson,16,Syracuse,6,10
10/25/2014,N Illinois,28,E Michigan,17,11
10/25/2014,Ga Southern,69,Georgia St,31,38
10/25/2014,Illinois,28,Minnesota,24,4
10/25/2014,Mississippi St,45,Kentucky,31,14
10/25/2014,Marshall,35,FL Atlantic,16,19
10/25/2014,Miami OH,10,Kent,3,7
10/25/2014,Michigan St,35,Michigan,11,24
10/25/2014,Navy,41,San Jose St,31,10
10/25/2014,Georgia Tech,56,Pittsburgh,28,28
10/25/2014,Toledo,42,Massachusetts,35,7
10/25/2014,UCF,34,Temple,14,20
10/25/2014,North Carolina,28,Virginia,27,1
10/25/2014,Boston College,23,Wake Forest,17,6
10/25/2014,W Michigan,42,Ohio,21,21
10/25/2014,Wisconsin,52,Maryland,7,45
10/25/2014,Alabama,34,Tennessee,20,14
10/25/2014,Arkansas,45,UAB,17,28
10/25/2014,Kansas St,23,Texas,0,23
10/25/2014,LSU,10,Mississippi,7,3
10/25/2014,Nebraska,42,Rutgers,24,18
10/25/2014,West Virginia,34,Oklahoma St,10,24
10/25/2014,Rice,41,North Texas,21,20
10/25/2014,Memphis,48,SMU,10,38
10/25/2014,Louisiana Tech,31,Southern Miss,20,11
10/25/2014,TCU,82,Texas Tech,27,55
10/25/2014,UTEP,34,UT San Antonio,0,34
10/25/2014,WKU,66,Old Dominion,51,15
10/25/2014,Auburn,42,South Carolina,35,7
10/25/2014,Missouri,24,Vanderbilt,14,10
10/25/2014,Colorado St,45,Wyoming,31,14
10/25/2014,Utah St,34,UNLV,20,14
10/25/2014,UCLA,40,Colorado,37,3
10/25/2014,Utah,24,USC,21,3
10/25/2014,Stanford,38,Oregon St,14,24
10/25/2014,Arizona,59,Washington St,37,22
10/25/2014,Arizona St,24,Washington,10,14
10/25/2014,Nevada,26,Hawaii,18,8
10/25/2014,Texas St,22,ULM,18,4
10/25/2014,Ohio St,31,Penn St,24,7
10/30/2014,Ga Southern,42,Troy,10,32
10/30/2014,Florida St,42,Louisville,31,11
10/31/2014,Memphis,40,Tulsa,20,20
10/31/2014,Cincinnati,38,Tulane,14,24
11/1/2014,Appalachian St,44,Georgia St,0,44
11/1/2014,Air Force,23,Army,6,17
11/1/2014,C Michigan,38,E Michigan,7,31
11/1/2014,Rice,31,Florida Intl,17,14
11/1/2014,UAB,31,FL Atlantic,28,3
11/1/2014,Florida,38,Georgia,20,18
11/1/2014,Georgia Tech,35,Virginia,10,25
11/1/2014,Miami FL,47,North Carolina,20,27
11/1/2014,W Michigan,41,Miami OH,10,31
11/1/2014,Maryland,20,Penn St,19,1
11/1/2014,Tennessee,45,South Carolina,42,3
11/1/2014,Houston,27,South Florida,3,24
11/1/2014,NC State,24,Syracuse,17,7
11/1/2014,Temple,20,East Carolina,10,10
11/1/2014,Boston College,33,Virginia Tech,31,2
11/1/2014,TCU,31,West Virginia,30,1
11/1/2014,Connecticut,37,UCF,29,8
11/1/2014,Notre Dame,49,Navy,39,10
11/1/2014,Wisconsin,37,Rutgers,0,37
11/1/2014,Duke,51,Pittsburgh,48,3
11/1/2014,Baylor,60,Kansas,14,46
11/1/2014,Iowa,48,Northwestern,7,41
11/1/2014,ULL,19,South Alabama,9,10
11/1/2014,Louisiana Tech,59,WKU,10,49
11/1/2014,BYU,27,MTSU,7,20
11/1/2014,Mississippi St,17,Arkansas,10,7
11/1/2014,Missouri,20,Kentucky,10,10
11/1/2014,Nebraska,35,Purdue,14,21
11/1/2014,Texas A&M,21,ULM,16,5
11/1/2014,Texas,34,Texas Tech,13,21
11/1/2014,Vanderbilt,42,Old Dominion,28,14
11/1/2014,Auburn,35,Mississippi,31,4
