rank,team,winpercentage,rating,averageMOV,averageMOL,conference
1,UCF,1,1,33,0,AAC-EAST
2,ALABAMA,1,0.907710868526799,37.6,0,SEC West
3,CLEMSON,1,0.851995624943304,25.6,0,ACC Atlantic
4,TCU,1,0.838427512195166,29.25,0,Big-12
5,MICHIGAN,1,0.834016617956643,18,0,Big-10 East
6,PENN STATE,1,0.816157810788613,32,0,Big-10 East
7,MIAMI-FLORIDA,1,0.808410869839423,25,0,ACC Coastal
8,WISCONSIN,1,0.777751528520636,27.25,0,Big-10 West
9,GEORGIA,1,0.774424378741116,23.8,0,SEC East
10,NOTRE DAME,0.8,0.77082746658603,29.25,1,Independent
11,OKLAHOMA,1,0.753788195025376,28.5,0,Big-12
12,OHIO STATE,0.8,0.751596603867293,37,15,Big-10 East
13,WASHINGTON,1,0.75115206060385,33.2,0,PAC-12 North
14,NAVY,1,0.710444380044208,11.25,0,AAC-WEST
15,USC,0.8,0.709729415282306,12.25,3,PAC-12 South
16,OKLAHOMA STATE,0.8,0.685802170818321,29.25,13,Big-12
17,OREGON,0.8,0.678337845158762,30,2,PAC-12 North
18,MARYLAND,0.75,0.660444117606632,21,28,Big-10 East
19,SAN DIEGO ST,1,0.657264982625607,8.8,0,Mountain West West
20,WASHINGTON ST,1,0.64611101810996,20.8,0,PAC-12 North
21,SMU,0.8,0.645146239903323,27.5,20,AAC-WEST
22,SO FLORIDA,1,0.642514034314922,24.8,0,AAC-EAST
23,AUBURN,0.8,0.623984239832256,31,8,SEC West
24,FLORIDA,0.75,0.62168835404773,7,16,SEC East
25,MINNESOTA,0.75,0.618505745275165,25,7,Big-10 West
26,LOUISVILLE,0.8,0.617563964038774,25.75,26,ACC Atlantic
27,KENTUCKY,0.8,0.617279624156243,8,1,SEC East
28,NC STATE,0.8,0.616884515776338,16,7,ACC Atlantic
29,WAKE FOREST,0.8,0.609797114449187,26.25,7,ACC Atlantic
30,GEORGIA TECH,0.75,0.609595325066688,23.6666666666667,1,ACC Coastal
31,TEXAS A&M,0.8,0.608288991757741,12,1,SEC West
32,UTAH,1,0.607463770666611,17.75,0,PAC-12 South
33,MICHIGAN STATE,0.75,0.60350813704019,15.3333333333333,20,Big-10 East
34,DUKE,0.8,0.599026587316957,25.25,25,ACC Coastal
35,TX-SAN ANTONIO,1,0.595939409533257,23.6666666666667,0,Conference USA West
36,IOWA,0.6,0.594246252420866,13.6666666666667,4.5,Big-10 West
37,MEMPHIS,0.75,0.589147458179062,8,27,AAC-WEST
38,MARSHALL,0.75,0.575273753077991,14.3333333333333,17,Conference USA East
39,VIRGINIA TECH,0.8,0.574595553573492,29.75,14,ACC Coastal
40,STANFORD,0.6,0.571812390435873,29.6666666666667,10.5,PAC-12 North
41,TEXAS TECH,0.75,0.563602616036253,18.6666666666667,7,Big-12
42,VIRGINIA,0.75,0.559596443257089,19,17,ACC Coastal
43,HOUSTON,0.75,0.55638938752996,15,3,AAC-WEST
44,MISS STATE,0.6,0.55059264442212,38.3333333333333,33.5,SEC West
